Date,Ticker,Shares,Buy Price,Cost Basis,Stop Loss,Current Price,Total Value,PnL,Action,Cash Balance,Total Equity
2025-07-11,TOTAL,,,,,,100.14,-3.43,,2.32,102.46
2025-07-14,ABEO,6.0,5.77,34.62,4.9,5.92,35.52,0.9,HOLD,,
2025-07-14,CADL,5.0,5.04,25.2,4.03,6.43,32.15,6.95,HOLD,,
2025-07-14,AZTR,55.0,0.25,13.75,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-14,IINN,20.0,1.5,30.0,1.1,1.4,28.0,-2.0,HOLD,,
2025-07-14,TOTAL,,,,,,108.32,4.75,,2.32,110.64
2025-07-15,ABEO,6.0,5.77,34.62,4.9,5.95,35.7,1.08,HOLD,,
2025-07-15,CADL,5.0,5.04,25.2,4.03,6.25,31.25,6.05,HOLD,,
2025-07-15,AZTR,55.0,0.25,13.75,0.18,0.22,12.1,-1.65,HOLD,,
2025-07-15,IINN,20.0,1.5,30.0,1.1,1.34,26.8,-3.2,HOLD,,
2025-07-15,TOTAL,,,,,,105.85,2.28,,2.32,108.17
2025-07-16,ABEO,6.0,5.77,34.62,4.9,6.26,37.56,2.94,HOLD,,
2025-07-16,CADL,5.0,5.04,25.2,4.03,6.85,34.25,9.05,HOLD,,
2025-07-16,AZTR,55.0,0.25,13.75,0.18,0.24,13.2,-0.55,HOLD,,
2025-07-16,IINN,20.0,1.5,30.0,1.1,1.37,27.4,-2.6,HOLD,,
2025-07-16,TOTAL,,,,,,112.41,8.84,,2.32,114.73
2025-07-17,ABEO,6.0,5.77,34.62,4.9,6.63,39.78,5.16,HOLD,,
2025-07-17,CADL,5.0,5.04,25.2,4.03,6.92,34.6,9.4,HOLD,,
2025-07-17,AZTR,55.0,0.25,13.75,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-17,IINN,20.0,1.5,30.0,1.1,1.47,29.4,-0.6,HOLD,,
2025-07-17,TOTAL,,,,,,116.43,12.86,,2.32,118.75
2025-07-18,ABEO,6.0,5.77,34.62,4.9,6.59,39.54,4.92,HOLD,,
2025-07-18,CADL,5.0,5.04,25.2,4.03,6.74,33.7,8.5,HOLD,,
2025-07-18,AZTR,55.0,0.25,13.75,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-18,IINN,20.0,1.5,30.0,1.1,1.41,28.2,-1.8,HOLD,,
2025-07-18,TOTAL,,,,,,114.09,10.52,,2.32,116.41
2025-07-21,ABEO,6.0,5.77,34.62,4.9,6.75,40.5,5.88,HOLD,,
2025-07-21,AZTR,55.0,0.25,13.75,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-21,IINN,20.0,1.5,30.0,1.1,1.3,26.0,-4.0,HOLD,,
2025-07-21,ACTU,6.0,5.75,34.5,4.89,5.66,33.96,-0.54,HOLD,,
2025-07-21,TOTAL,,,,,,113.11,0.24,,0.77,113.88
2025-07-22,ABEO,6.0,5.77,34.62,4.9,6.52,39.12,4.5,HOLD,,
2025-07-22,AZTR,55.0,0.25,13.75,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-22,IINN,20.0,1.5,30.0,1.1,1.38,27.6,-2.4,HOLD,,
2025-07-22,ACTU,6.0,5.75,34.5,4.89,6.26,37.56,3.06,HOLD,,
2025-07-22,TOTAL,,,,,,116.93,4.06,,2.32,119.25
2025-07-23,ABEO,6.0,5.77,34.62,4.9,6.71,40.26,5.64,HOLD,,
2025-07-23,AZTR,55.0,0.25,13.75,0.18,0.24,13.2,-0.55,HOLD,,
2025-07-23,IINN,20.0,1.5,30.0,1.1,1.36,27.2,-2.8,HOLD,,
2025-07-23,ACTU,6.0,5.75,34.5,4.89,6.6,39.6,5.1,HOLD,,
2025-07-23,TOTAL,,,,,,120.26,7.39,,2.32,122.58
2025-07-24,ABEO,6.0,5.77,34.62,4.9,6.65,39.9,5.28,HOLD,,
2025-07-24,AZTR,55.0,0.25,13.75,0.18,0.23,12.65,-1.1,HOLD,,
2025-07-24,IINN,20.0,1.5,30.0,1.1,1.43,28.6,-1.4,HOLD,,
2025-07-24,ACTU,6.0,5.75,34.5,4.89,6.99,41.94,7.44,HOLD,,
2025-07-24,TOTAL,,,,,,123.09,10.22,,2.32,125.41
2025-07-25,ABEO,6.0,5.77,34.62,4.9,6.53,39.18,4.56,HOLD,,
2025-07-25,AZTR,55.0,0.25,13.75,0.18,0.22,12.1,-1.65,HOLD,,
2025-07-25,IINN,20.0,1.5,30.0,1.1,1.41,28.2,-1.8,HOLD,,
2025-07-25,ACTU,6.0,5.75,34.5,4.89,7.26,43.56,9.06,HOLD,,
2025-07-25,TOTAL,,,,,,123.04,10.17,,2.32,125.36
2025-07-28,ABEO,6.0,5.77,34.62,4.9,6.62,39.72,5.1,HOLD,,
2025-07-28,IINN,14.0,1.5,21.0,1.1,1.34,18.76,-2.24,HOLD,,
2025-07-28,ACTU,6.0,5.75,34.5,4.89,6.86,41.16,6.66,HOLD,,
2025-07-28,AZTR,55.0,0.25,13.75,0.18,0.2,11.0,-2.75,HOLD,, 
2025-07-28,TOTAL,,,,,,110.64,6.77,,11.32,121.96
2025-07-29,ABEO,6.0,5.77,34.62,4.9,6.75,40.5,5.88,HOLD,,
2025-07-29,IINN,14.0,1.5,21.0,1.1,1.26,17.64,-3.36,HOLD,,
2025-07-29,ACTU,6.0,5.75,34.5,4.89,6.77,40.62,6.12,HOLD,,
2025-07-29,TOTAL,,,,,,98.76,8.64,,22.32,121.08
2025-07-30,ABEO,6.0,5.77,34.62,4.9,6.8,40.8,6.18,HOLD,,
2025-07-30,IINN,14.0,1.5,21.0,1.1,1.26,17.64,-3.36,HOLD,,
2025-07-30,ACTU,6.0,5.75,34.5,4.89,7.27,43.62,9.12,HOLD,,
2025-07-30,TOTAL,,,,,,102.06,11.94,,22.32,124.38
2025-07-31,ABEO,6.0,5.77,34.62,4.9,6.37,38.22,3.6,HOLD,,
2025-07-31,IINN,14.0,1.5,21.0,1.1,1.27,17.78,-3.22,HOLD,,
2025-07-31,ACTU,6.0,5.75,34.5,4.89,7.25,43.5,9.0,HOLD,,
2025-07-31,TOTAL,,,,,,99.5,9.38,,22.32,121.82
2025-08-01,ABEO,4.0,5.77,23.08,4.9,6.49,25.96,2.88,HOLD,,
2025-08-01,IINN,16.0,1.5,24.0,1.1,1.23,19.68,-4.32,HOLD,,
2025-08-01,ACTU,6.0,5.75,34.5,4.89,7.26,43.56,9.06,HOLD,,
2025-08-01,TOTAL,,,,,,89.2,7.62,,31.58,120.78
2025-08-04,ABEO,4.0,5.77,23.08,4.9,6.42,25.68,2.6,HOLD,,
2025-08-04,IINN,16.0,1.5,24.0,1.1,1.31,20.96,-3.04,HOLD,,
2025-08-04,ACTU,6.0,5.75,34.5,4.89,7.07,42.42,7.92,HOLD,,
2025-08-04,TOTAL,,,,,,89.06,7.48,,31.58,120.64
2025-08-05,ABEO,4.0,5.77,23.08,4.9,6.47,25.88,2.8,HOLD,,
2025-08-05,IINN,16.0,1.5,24.0,1.1,1.28,20.48,-3.52,HOLD,,
2025-08-05,ACTU,6.0,5.75,34.5,4.89,7.31,43.86,9.36,HOLD,,
2025-08-05,TOTAL,,,,,,90.22,8.64,,31.58,121.8
2025-08-06,ABEO,4.0,5.77,23.08,4.9,6.39,25.56,2.48,HOLD,,
2025-08-06,IINN,16.0,1.5,24.0,1.1,1.22,19.52,-4.48,HOLD,,
2025-08-06,ACTU,6.0,5.75,34.5,4.89,8.17,49.02,14.52,HOLD,,
2025-08-06,TOTAL,,,,,,94.1,12.52,,31.58,125.68
2025-08-07,ABEO,4.0,5.77,23.08,4.9,6.27,25.08,2.0,HOLD,,
2025-08-07,IINN,16.0,1.5,24.0,1.1,1.16,18.56,-5.44,HOLD,,
2025-08-07,ACTU,6.0,5.75,34.5,4.89,8.07,48.42,13.92,HOLD,,
2025-08-07,ESPR,2.0,1.91,3.82,1.6,1.81,3.62,-0.2,HOLD,,
2025-08-07,TOTAL,,,,,,95.68,10.28,,27.76,123.44
2025-08-08,ABEO,4.0,5.77,23.08,4.9,6.26,25.04,1.96,HOLD,,
2025-08-08,IINN,16.0,1.5,24.0,1.1,1.1,17.6,-6.4,SELL - Stop Loss Triggered,,
2025-08-08,ACTU,6.0,5.75,34.5,4.89,8.02,48.12,13.62,HOLD,,
2025-08-08,ESPR,2.0,1.91,3.82,1.6,1.87,3.74,-0.08,HOLD,,
2025-08-08,TOTAL,,,,,,76.9,15.5,,45.36,122.26
2025-08-11,ABEO,4.0,5.77,23.08,4.9,6.28,25.12,2.04,HOLD,,
2025-08-11,ACTU,6.0,5.75,34.5,4.89,8.01,48.06,13.56,HOLD,,
2025-08-11,ESPR,2.0,1.91,3.82,1.6,1.85,3.7,-0.12,HOLD,,
2025-08-11,TOTAL,,,,,,76.88,15.48,,45.36,122.24
2025-08-12,ABEO,4.0,5.77,23.08,4.9,6.38,25.52,2.44,HOLD,,
2025-08-12,ACTU,6.0,5.75,34.5,4.89,8.67,52.02,17.52,HOLD,,
2025-08-12,ESPR,2.0,1.91,3.82,1.6,1.79,3.58,-0.24,HOLD,,
2025-08-12,TOTAL,,,,,,81.12,19.72,,45.36,126.48
2025-08-13,ABEO,4.0,5.77,23.08,4.9,6.56,26.24,3.16,HOLD,,
2025-08-13,ACTU,6.0,5.75,34.5,4.89,8.53,51.18,16.68,HOLD,,
2025-08-13,ESPR,2.0,1.91,3.82,1.6,1.94,3.88,0.06,HOLD,,
2025-08-13,TOTAL,,,,,,81.3,19.9,,45.36,126.66
2025-08-14,ABEO,4.0,5.77,23.08,4.9,7.23,28.92,5.84,HOLD,,
2025-08-14,ACTU,6.0,5.75,34.5,4.89,8.22,49.32,14.82,HOLD,,
2025-08-14,ESPR,2.0,1.91,3.82,1.6,2.07,4.14,0.32,HOLD,,
2025-08-14,ATYR,8.0,5.09,40.72,4.2,4.99,39.92,-0.8,HOLD,,
2025-08-14,TOTAL,,,,,,122.3,20.18,,4.64,126.94
2025-08-15,ABEO,4.0,5.77,23.08,4.9,7.13,28.52,5.44,HOLD,,
2025-08-15,ACTU,6.0,5.75,34.5,6.0,8.12,48.72,14.22,HOLD,,
2025-08-15,ESPR,2.0,1.91,3.82,1.6,2.05,4.1,0.28,HOLD,,
2025-08-15,ATYR,8.0,5.09,40.72,4.2,4.9,39.2,-1.52,HOLD,,
2025-08-15,TOTAL,,,,,,120.54,18.42,,4.64,125.18
2025-08-18,ABEO,4.0,5.77,23.08,6.0,6.91,27.64,4.56,HOLD,,
2025-08-18,ATYR,8.0,5.09,40.72,4.2,4.91,39.28,-1.44,HOLD,,
2025-08-18,IINN,10.0,1.25,12.5,1.0,1.25,12.5,0.0,HOLD,,
2025-08-18,AXGN,2.0,14.96,29.92,12.0,15.49,30.98,1.06,HOLD,,
2025-08-18,TOTAL,,,,,,110.4,4.18,,15.08,125.48
2025-08-19,ABEO,4.0,5.77,23.08,6.0,6.84,27.36,4.28,HOLD,,
2025-08-19,ATYR,8.0,5.09,40.72,4.2,4.66,37.28,-3.44,HOLD,,
2025-08-19,IINN,10.0,1.25,12.5,1.0,1.23,12.3,-0.2,HOLD,,
2025-08-19,AXGN,2.0,14.96,29.92,12.0,15.36,30.72,0.8,HOLD,,
2025-08-19,TOTAL,,,,,,107.66,1.44,,15.08,122.74
2025-08-20,ABEO,4.0,5.77,23.08,6.0,7.0,28.0,4.92,HOLD,,
2025-08-20,ATYR,8.0,5.09,40.72,4.2,4.92,39.36,-1.36,HOLD,,
2025-08-20,IINN,10.0,1.25,12.5,1.0,1.25,12.5,0.0,HOLD,,
2025-08-20,AXGN,2.0,14.96,29.92,12.0,15.56,31.12,1.2,HOLD,,
2025-08-20,TOTAL,,,,,,110.98,4.76,,15.08,126.06
2025-08-21,ABEO,4.0,5.77,23.08,6.0,7.11,28.44,5.36,HOLD,,
2025-08-21,ATYR,8.0,5.09,40.72,4.2,4.95,39.6,-1.12,HOLD,,
2025-08-21,IINN,10.0,1.25,12.5,1.0,1.25,12.5,0.0,HOLD,,
2025-08-21,AXGN,2.0,14.96,29.92,12.0,15.84,31.68,1.76,HOLD,,
2025-08-21,TOTAL,,,,,,112.22,6.0,,15.08,127.3
2025-08-22,ABEO,4.0,5.77,23.08,6.0,7.23,28.92,5.84,HOLD,,
2025-08-22,ATYR,8.0,5.09,40.72,4.2,5.35,42.8,2.08,HOLD,,
2025-08-22,IINN,10.0,1.25,12.5,1.0,1.17,11.7,-0.8,HOLD,,
2025-08-22,AXGN,2.0,14.96,29.92,12.0,16.26,32.52,2.6,HOLD,,
2025-08-22,TOTAL,,,,,,115.94,9.72,,15.08,131.02
2025-08-25,ABEO,4.0,5.77,23.08,6.0,7.01,28.04,4.96,HOLD,,
2025-08-25,ATYR,8.0,5.09,40.72,4.2,5.16,41.28,0.56,HOLD,,
2025-08-25,IINN,10.0,1.25,12.5,1.0,1.14,11.4,-1.1,HOLD,,
2025-08-25,AXGN,2.0,14.96,29.92,12.0,14.79,29.58,-0.34,HOLD,,
2025-08-25,TOTAL,,,,,,110.3,4.08,,15.08,125.38
2025-08-26,ABEO,4.0,5.77,23.08,6.0,7.11,28.44,5.36,HOLD,,
2025-08-26,ATYR,8.0,5.09,40.72,4.2,5.14,41.12,0.4,HOLD,,
2025-08-26,IINN,10.0,1.25,12.5,1.0,1.18,11.8,-0.7,HOLD,,
2025-08-26,AXGN,2.0,14.96,29.92,12.0,16.21,32.42,2.5,HOLD,,
2025-08-26,TOTAL,,,,,,113.78,7.56,,15.08,128.86
2025-08-27,ABEO,4.0,5.77,23.08,6.0,6.9,27.6,4.52,HOLD,,
2025-08-27,ATYR,8.0,5.09,40.72,4.2,5.17,41.36,0.64,HOLD,,
2025-08-27,IINN,10.0,1.25,12.5,1.0,1.16,11.6,-0.9,HOLD,,
2025-08-27,AXGN,2.0,14.96,29.92,12.0,16.14,32.28,2.36,HOLD,,
2025-08-27,TOTAL,,,,,,112.84,6.62,,15.08,127.92
2025-08-28,ABEO,4,5.77,23.08,6.0,6.83,27.32,4.24,HOLD,,
2025-08-28,ATYR,8,5.09,40.72,4.2,5.38,43.04,2.32,HOLD,,
2025-08-28,IINN,10,1.25,12.5,1.0,1.15,11.5,-1.0,HOLD,,
2025-08-28,AXGN,2,14.96,29.92,12.0,16.14,32.28,2.36,HOLD,,
2025-08-28,TOTAL,,,,,,114.14,7.92,,15.08,129.22
2025-08-29,ABEO,4.0,5.77,23.08,6.0,6.83,27.32,4.24,HOLD,,
2025-08-29,ATYR,8.0,5.09,40.72,4.2,5.38,43.04,2.32,HOLD,,
2025-08-29,IINN,10.0,1.25,12.5,1.0,1.15,11.5,-1.0,HOLD,,
2025-08-29,AXGN,2.0,14.96,29.92,12.0,16.14,32.28,2.36,HOLD,,
2025-08-29,TOTAL,,,,,,114.14,7.92,,15.08,129.22
